city,centerlon,centerlat,speed100_km
yili,82.127485,43.447256,41.5209311
urumqi,87.78256,43.733516,40.14048845
guiyang,106.710733,26.839111,39.73058318
jining,116.741155,35.36912,36.68066714
sanya,109.418667,18.363454,38.77253651
yancheng,120.199905,33.512617,37.16500946
huai_an,118.970187,33.350112,38.05081753
taizhou1,120.061065,32.56924,35.42215649
yangzhou,119.479711,32.735359,37.5716475
shantou,116.59964,23.327761,36.58704706
zhaoqing,112.210424,23.53509,35.49417216
maoming,110.958513,22.007551,36.45054373
shijiazhuang,114.445446,38.131041,36.22019949
nantong,121.04888,32.181316,34.14187138
xuzhou,117.522638,34.354254,35.73085832
quanzhou,118.269507,25.189962,34.89080392
jiaxing,120.783309,30.619673,34.977877
zhenjiang,119.458047,32.013633,36.39711319
xining,101.438713,36.825832,34.62909976
jiangmen,112.677816,22.265163,34.70499934
taiyuan,112.322139,37.959559,32.50452546
linyi,118.286251,35.308744,34.52008841
tianjin,117.347635,39.284229,34.06424875
luoyang,112.037836,34.291147,34.04935759
dongguan,113.88018,22.931704,32.50392333
wuhu,118.140049,31.160399,34.90304222
langfang,116.633878,39.260216,37.16304035
xiamen,118.124907,24.659124,34.4462136
tangshan,118.337978,39.710267,34.54780641
nanchang,116.023713,28.646644,33.89080091
zhuhai,113.36317,22.150337,36.88332615
quzhou,118.679766,28.931381,34.49797921
shaoguan,113.779491,24.817635,35.15471747
zhengzhou,113.477292,34.625642,34.98947187
zhongshan,113.398713,22.517217,32.83475279
ordos,108.634335,39.412584,32.27008469
dezhou,116.653177,37.249041,35.21358326
xingtai,114.822445,37.213015,34.64603472
foshan,112.949876,23.003965,32.38708481
ganzhou,115.277955,25.705738,32.59265728
nanning,108.46782,23.05439,32.3678968
wuxi,120.080328,31.521983,34.38588762
suqian,118.525758,33.782874,35.31283632
hohhot,111.504801,40.592196,36.71058403
huizhou,114.507602,23.232708,33.03183796
changzhou,119.641565,31.622973,36.00008058
taizhou,121.140073,28.754959,34.21913569
mianyang,104.70626,31.846265,31.92451795
zibo,118.059119,36.608282,35.48130097
lianyungang,119.145105,34.534947,31.50690142
zhangzhou,117.458498,24.329213,34.32119084
hefei,117.360493,31.760659,32.2100108
hengyang,112.579737,26.790704,32.26351317
zhanjiang,110.169193,21.073012,32.50655039
fuzhou,119.205465,26.045429,32.98677533
xinxiang,114.09562,35.263128,32.11380197
weifang,119.07809,36.551901,31.40480484
deyang,104.438271,31.126958,34.9861205
shaoxin,120.641093,29.732085,31.78896685
handan,114.54878,36.552852,31.48257423
chengdu,103.931693,30.651207,30.89813816
jinhua,119.956799,29.114331,33.03822752
hangzhou,119.475401,29.89723,31.36571199
wuhan,114.348377,30.621754,30.92057837
chuzhou,118.107844,32.542321,33.97838945
huzhou,119.87357,30.74252,30.72724153
tai_an,117.03094,36.001801,32.46291607
suzhou,120.660424,31.381434,31.3587532
zhangjiakou,115.038236,40.866547,29.78622282
nanyang,112.289363,33.04248,31.41740581
guangzhou,113.544242,23.328294,29.34912355
xianyang,108.394648,34.78411,28.97819182
qingyuan,112.880294,24.311422,27.79957253
dalian,122.196657,39.586303,31.42472944
kunming,102.874162,25.384166,29.07237647
liuzhou,109.375126,24.944482,30.35536187
nanjing,118.848164,31.925782,32.0341334
ningbo,121.482414,29.728408,31.47417044
cangzhou,116.771083,38.26945,32.56985527
datong,113.725711,39.901618,32.75975849
jinan,117.221277,36.637302,31.10417648
nanchong,106.207272,31.193469,31.25228206
wenzhou,120.467968,27.89279,30.39057212
shenzhen,114.141845,22.642652,29.28528536
guilin,110.518134,25.352283,28.57219735
baoding,115.177286,39.022701,30.07877879
changsha,113.158303,28.223787,29.19868366
yinchuan,106.347879,38.286237,29.38715171
yantai,120.8045,37.24469,30.98296448
hongkong,114.133498,22.376035,29.65820285
harbin,127.964618,45.639399,29.80115588
chongqing,107.879617,30.055029,27.85943846
qingdao,120.150856,36.447737,29.79951762
lanzhou,103.644952,36.353182,26.88222372
beijing,116.419926,40.18802,28.00190486
xi_an,108.796549,34.105793,27.28147672
haikou,110.424141,19.849972,26.30944112
shenyang,123.143322,42.096415,26.5162259
changchun,125.590163,44.285304,28.54672525
shanghai,121.486625,31.208625,27.08567206
